Found shorter combination to 9 20 with  
Found shorter combination to 41 15 with  
Found shorter combination to 108 20 with  
Found shorter combination to 96 10 with 34C3_PD 
Found shorter combination to 125 60 with 34C3_PD 
Found shorter combination to 216 50 with 34C3_QD 
Found shorter combination to 165 20 with 34C3_QD 
Found shorter combination to 213 60 with 34C3_RD 
Found shorter combination to 35 50 with 34C3_SD 
Found shorter combination to 34 20 with 34C3_SD 
Found shorter combination to 43 10 with 34C3_TD 
Found shorter combination to 95 20 with 34C3_TD 
Found shorter combination to 226 50 with 34C3_UD 
Found shorter combination to 86 20 with 34C3_UD 
Found shorter combination to 23 10 with 34C3_VD 
Found shorter combination to 197 50 with 34C3_WD 
Found shorter combination to 248 20 with 34C3_WD 
Found shorter combination to 212 10 with 34C3_XD 
Found shorter combination to 193 60 with 34C3_XD 
Found shorter combination to 26 10 with 34C3_YD 
Found shorter combination to 102 10 with 34C3_ZD 
Found shorter combination to 231 10 with 34C3__D 
Found shorter combination to 79 10 with 34C3_aD 
Found shorter combination to 132 50 with 34C3_bD 
Found shorter combination to 121 20 with 34C3_bD 
Found shorter combination to 236 50 with 34C3_dD 
Found shorter combination to 136 10 with 34C3_eD 
Found shorter combination to 180 20 with 34C3_eD 
Found shorter combination to 167 10 with 34C3_fD 
Found shorter combination to 186 50 with 34C3_gD 
Found shorter combination to 127 20 with 34C3_hD 
Found shorter combination to 15 50 with 34C3_iD 
Found shorter combination to 11 10 with 34C3_jD 
Found shorter combination to 107 50 with 34C3_kD 
Found shorter combination to 177 60 with 34C3_lD 
Found shorter combination to 74 10 with 34C3_nD 
Found shorter combination to 222 20 with 34C3_nD 
Found shorter combination to 90 50 with 34C3_pD 
Found shorter combination to 115 20 with 34C3_pD 
Found shorter combination to 105 50 with 34C3_qD 
Found shorter combination to 36 60 with 34C3_qD 
Found shorter combination to 161 60 with 34C3_rD 
Found shorter combination to 255 50 with 34C3_vD 
Found shorter combination to 154 50 with 34C3_wD 
Found shorter combination to 46 60 with 34C3_wD 
Found shorter combination to 184 10 with 34C3_xD 
Found shorter combination to 192 50 with 34C3_yD 
Found shorter combination to 95 60 with 34C3_yD 
Found shorter combination to 83 10 with 34C3_zD 
Found shorter combination to 170 60 with 34C3_zD 
Found shorter combination to 133 50 with 34C3_0D 
Found shorter combination to 33 10 with 34C3_2D 
Found shorter combination to 181 10 with 34C3_3D 
Found shorter combination to 198 50 with 34C3_7D 
Found shorter combination to 130 10 with 34C3_8D 
Found shorter combination to 195 20 with 34C3_8D 
Found shorter combination to 80 50 with 34C3_"D 
Found shorter combination to 66 10 with 34C3_.D 
Found shorter combination to 165 60 with 34C3_.D 
Found shorter combination to 31 20 with 34C3_AE 
Found shorter combination to 72 20 with 34C3_AE 
Found shorter combination to 202 60 with 34C3_CE 
Found shorter combination to 230 20 with 34C3_CE 
Found shorter combination to 88 20 with 34C3_DE 
Found shorter combination to 19 20 with 34C3_DE 
Found shorter combination to 257 20 with 34C3_EE 
Found shorter combination to 97 20 with 34C3_GE 
Found shorter combination to 189 60 with 34C3_GE 
Found shorter combination to 176 60 with 34C3_HE 
Found shorter combination to 27 20 with 34C3_KE 
Found shorter combination to 150 20 with 34C3_KE 
Found shorter combination to 56 20 with 34C3_ME 
Found shorter combination to 124 20 with 34C3_NE 
Found shorter combination to 140 60 with 34C3_OE 
Found shorter combination to 134 60 with 34C3_OE 
Found shorter combination to 184 20 with 34C3_PE 
Found shorter combination to 205 60 with 34C3_PE 
Found shorter combination to 45 20 with 34C3_QE 
Found shorter combination to 105 60 with 34C3_RE 
Found shorter combination to 226 20 with 34C3_RE 
Found shorter combination to 42 20 with 34C3_SE 
Found shorter combination to 31 60 with 34C3_SE 
Found shorter combination to 228 60 with 34C3_TE 
Found shorter combination to 201 20 with 34C3_TE 
Found shorter combination to 242 20 with 34C3_UE 
Found shorter combination to 57 60 with 34C3_ZE 
Found shorter combination to 191 60 with 34C3_ZE 
Found shorter combination to 118 20 with 34C3__E 
Found shorter combination to 221 60 with 34C3__E 
Found shorter combination to 209 20 with 34C3_aE 
Found shorter combination to 62 20 with 34C3_aE 
Found shorter combination to 129 60 with 34C3_bE 
Found shorter combination to 48 20 with 34C3_bE 
Found shorter combination to 106 20 with 34C3_dE 
Found shorter combination to 169 60 with 34C3_dE 
Found shorter combination to 133 60 with 34C3_eE 
Found shorter combination to 60 20 with 34C3_fE 
Found shorter combination to 107 60 with 34C3_fE 
Found shorter combination to 76 60 with 34C3_gE 
Found shorter combination to 34 60 with 34C3_hE 
Found shorter combination to 201 60 with 34C3_hE 
Found shorter combination to 222 60 with 34C3_iE 
Found shorter combination to 124 60 with 34C3_kE 
Found shorter combination to 145 20 with 34C3_lE 
Found shorter combination to 163 20 with 34C3_mE 
Found shorter combination to 146 20 with 34C3_pE 
Found shorter combination to 99 60 with 34C3_pE 
Found shorter combination to 83 20 with 34C3_qE 
Found shorter combination to 132 20 with 34C3_rE 
Found shorter combination to 44 60 with 34C3_rE 
Found shorter combination to 245 20 with 34C3_vE 
Found shorter combination to 162 60 with 34C3_xE 
Found shorter combination to 96 60 with 34C3_zE 
Found shorter combination to 91 20 with 34C3_4E 
Found shorter combination to 243 20 with 34C3_7E 
Found shorter combination to 168 60 with 34C3_8E 
Found shorter combination to 137 20 with 34C3_9E 
Found shorter combination to 25 20 with 34C3_.E 
Found shorter combination to 166 60 with 34C3_.E 
Found shorter combination to 100 40 with 34C3_AF 
Found shorter combination to 153 45 with 34C3_AF 
Found shorter combination to 70 60 with 34C3_AF 
Found shorter combination to 97 0 with 34C3_BF 
Found shorter combination to 134 5 with 34C3_BF 
Found shorter combination to 205 20 with 34C3_BF 
Found shorter combination to 52 0 with 34C3_CF 
Found shorter combination to 101 5 with 34C3_CF 
Found shorter combination to 236 60 with 34C3_CF 
Found shorter combination to 63 40 with 34C3_DF 
Found shorter combination to 81 5 with 34C3_DF 
Found shorter combination to 173 60 with 34C3_DF 
Found shorter combination to 90 0 with 34C3_EF 
Found shorter combination to 226 0 with 34C3_FF 
Found shorter combination to 27 45 with 34C3_FF 
Found shorter combination to 162 40 with 34C3_GF 
Found shorter combination to 177 0 with 34C3_HF 
Found shorter combination to 55 5 with 34C3_HF 
Found shorter combination to 209 40 with 34C3_IF 
Found shorter combination to 244 45 with 34C3_IF 
Found shorter combination to 219 40 with 34C3_JF 
Found shorter combination to 123 45 with 34C3_JF 
Found shorter combination to 246 60 with 34C3_JF 
Found shorter combination to 71 40 with 34C3_KF 
Found shorter combination to 45 45 with 34C3_KF 
Found shorter combination to 99 0 with 34C3_LF 
Found shorter combination to 172 45 with 34C3_LF 
Found shorter combination to 228 40 with 34C3_MF 
Found shorter combination to 239 45 with 34C3_MF 
Found shorter combination to 42 60 with 34C3_MF 
Found shorter combination to 179 0 with 34C3_NF 
Found shorter combination to 168 5 with 34C3_NF 
Found shorter combination to 237 20 with 34C3_NF 
Found shorter combination to 146 0 with 34C3_OF 
Found shorter combination to 29 5 with 34C3_OF 
Found shorter combination to 217 40 with 34C3_PF 
Found shorter combination to 247 0 with 34C3_QF 
Found shorter combination to 38 40 with 34C3_RF 
Found shorter combination to 53 0 with 34C3_SF 
Found shorter combination to 218 40 with 34C3_TF 
Found shorter combination to 82 45 with 34C3_TF 
Found shorter combination to 187 60 with 34C3_TF 
Found shorter combination to 94 40 with 34C3_UF 
Found shorter combination to 150 45 with 34C3_UF 
Found shorter combination to 245 40 with 34C3_VF 
Found shorter combination to 124 40 with 34C3_WF 
Found shorter combination to 224 5 with 34C3_WF 
Found shorter combination to 239 60 with 34C3_WF 
Found shorter combination to 150 40 with 34C3_XF 
Found shorter combination to 114 45 with 34C3_XF 
Found shorter combination to 246 20 with 34C3_XF 
Found shorter combination to 258 0 with 34C3_YF 
Found shorter combination to 116 5 with 34C3_YF 
Found shorter combination to 82 0 with 34C3_ZF 
Found shorter combination to 149 5 with 34C3_ZF 
Found shorter combination to 188 20 with 34C3_ZF 
Found shorter combination to 178 0 with 34C3__F 
Found shorter combination to 160 45 with 34C3__F 
Found shorter combination to 134 40 with 34C3_aF 
Found shorter combination to 50 45 with 34C3_aF 
Found shorter combination to 54 0 with 34C3_bF 
Found shorter combination to 101 45 with 34C3_bF 
Found shorter combination to 103 60 with 34C3_bF 
Found shorter combination to 222 40 with 34C3_cF 
Found shorter combination to 218 45 with 34C3_cF 
Found shorter combination to 55 0 with 34C3_dF 
Found shorter combination to 33 45 with 34C3_dF 
Found shorter combination to 126 0 with 34C3_eF 
Found shorter combination to 245 5 with 34C3_eF 
Found shorter combination to 216 0 with 34C3_fF 
Found shorter combination to 109 5 with 34C3_fF 
Found shorter combination to 66 20 with 34C3_fF 
Found shorter combination to 142 0 with 34C3_gF 
Found shorter combination to 242 5 with 34C3_gF 
Found shorter combination to 14 40 with 34C3_hF 
Found shorter combination to 65 45 with 34C3_hF 
Found shorter combination to 160 20 with 34C3_hF 
Found shorter combination to 38 0 with 34C3_iF 
Found shorter combination to 64 45 with 34C3_iF 
Found shorter combination to 113 0 with 34C3_jF 
Found shorter combination to 234 45 with 34C3_jF 
Found shorter combination to 206 40 with 34C3_kF 
Found shorter combination to 188 45 with 34C3_kF 
Found shorter combination to 145 40 with 34C3_lF 
Found shorter combination to 77 5 with 34C3_lF 
Found shorter combination to 223 0 with 34C3_mF 
Found shorter combination to 192 5 with 34C3_mF 
Found shorter combination to 132 60 with 34C3_mF 
Found shorter combination to 210 40 with 34C3_nF 
Found shorter combination to 131 45 with 34C3_nF 
Found shorter combination to 221 40 with 34C3_pF 
Found shorter combination to 243 5 with 34C3_pF 
Found shorter combination to 230 60 with 34C3_pF 
Found shorter combination to 39 0 with 34C3_qF 
Found shorter combination to 227 5 with 34C3_qF 
Found shorter combination to 243 0 with 34C3_rF 
Found shorter combination to 128 45 with 34C3_rF 
Found shorter combination to 115 40 with 34C3_sF 
Found shorter combination to 20 5 with 34C3_sF 
Found shorter combination to 96 40 with 34C3_vF 
Found shorter combination to 14 45 with 34C3_vF 
Found shorter combination to 200 0 with 34C3_wF 
Found shorter combination to 65 5 with 34C3_wF 
Found shorter combination to 9 60 with 34C3_wF 
Found shorter combination to 156 40 with 34C3_xF 
Found shorter combination to 69 45 with 34C3_xF 
Found shorter combination to 141 40 with 34C3_yF 
Found shorter combination to 132 5 with 34C3_yF 
Found shorter combination to 81 60 with 34C3_yF 
Found shorter combination to 104 0 with 34C3_zF 
Found shorter combination to 187 40 with 34C3_0F 
Found shorter combination to 62 5 with 34C3_0F 
Found shorter combination to 46 0 with 34C3_2F 
Found shorter combination to 43 40 with 34C3_3F 
Found shorter combination to 230 0 with 34C3_4F 
Found shorter combination to 73 45 with 34C3_4F 
Found shorter combination to 70 20 with 34C3_4F 
Found shorter combination to 152 0 with 34C3_7F 
Found shorter combination to 22 40 with 34C3_8F 
Found shorter combination to 78 45 with 34C3_8F 
Found shorter combination to 121 40 with 34C3_9F 
Found shorter combination to 39 45 with 34C3_9F 
Found shorter combination to 78 20 with 34C3_9F 
Found shorter combination to 60 0 with 34C3_"F 
Found shorter combination to 241 45 with 34C3_"F 
Found shorter combination to 44 0 with 34C3_.F 
Found shorter combination to 255 5 with 34C3_.F 
Found shorter combination to 179 60 with 34C3_.F 
Found shorter combination to 59 60 with 34C3_AG 
Found shorter combination to 145 60 with 34C3_AG 
Found shorter combination to 52 60 with 34C3_BG 
Found shorter combination to 199 60 with 34C3_FG 
Found shorter combination to 147 20 with 34C3_HG 
Found shorter combination to 226 60 with 34C3_HG 
Found shorter combination to 250 60 with 34C3_KG 
Found shorter combination to 113 60 with 34C3_OG 
Found shorter combination to 141 60 with 34C3_RG 
Found shorter combination to 28 60 with 34C3_RG 
Found shorter combination to 151 20 with 34C3_SG 
Found shorter combination to 23 20 with 34C3_VG 
Found shorter combination to 171 60 with 34C3_VG 
Found shorter combination to 197 60 with 34C3_WG 
Found shorter combination to 212 20 with 34C3_XG 
Found shorter combination to 26 20 with 34C3_YG 
Found shorter combination to 102 20 with 34C3_ZG 
Found shorter combination to 231 20 with 34C3__G 
Found shorter combination to 64 20 with 34C3_dG 
Found shorter combination to 186 60 with 34C3_gG 
Found shorter combination to 15 60 with 34C3_iG 
Found shorter combination to 11 20 with 34C3_jG 
Found shorter combination to 228 20 with 34C3_lG 
Found shorter combination to 24 20 with 34C3_nG 
Found shorter combination to 255 60 with 34C3_pG 
Found shorter combination to 154 60 with 34C3_wG 
Found shorter combination to 192 60 with 34C3_yG 
Found shorter combination to 21 60 with 34C3_yG 
Found shorter combination to 33 20 with 34C3_2G 
Found shorter combination to 181 20 with 34C3_3G 
Found shorter combination to 44 20 with 34C3_4G 
Found shorter combination to 107 20 with 34C3_4G 
Found shorter combination to 130 20 with 34C3_8G 
Found shorter combination to 223 60 with 34C3_8G 
Found shorter combination to 153 40 with 34C3_AH 
Found shorter combination to 134 0 with 34C3_BH 
Found shorter combination to 101 0 with 34C3_CH 
Found shorter combination to 236 20 with 34C3_CH 
Found shorter combination to 81 0 with 34C3_DH 
Found shorter combination to 35 0 with 34C3_EH 
Found shorter combination to 27 40 with 34C3_FH 
Found shorter combination to 30 60 with 34C3_HH 
Found shorter combination to 244 40 with 34C3_IH 
Found shorter combination to 81 20 with 34C3_IH 
Found shorter combination to 123 40 with 34C3_JH 
Found shorter combination to 45 40 with 34C3_KH 
Found shorter combination to 172 40 with 34C3_LH 
Found shorter combination to 239 40 with 34C3_MH 
Found shorter combination to 254 20 with 34C3_MH 
Found shorter combination to 168 0 with 34C3_NH 
Found shorter combination to 29 0 with 34C3_OH 
Found shorter combination to 192 40 with 34C3_PH 
Found shorter combination to 186 40 with 34C3_QH 
Found shorter combination to 156 20 with 34C3_QH 
Found shorter combination to 184 0 with 34C3_RH 
Found shorter combination to 82 40 with 34C3_TH 
Found shorter combination to 174 60 with 34C3_TH 
Found shorter combination to 111 60 with 34C3_UH 
Found shorter combination to 224 0 with 34C3_WH 
Found shorter combination to 192 20 with 34C3_WH 
Found shorter combination to 114 40 with 34C3_XH 
Found shorter combination to 116 0 with 34C3_YH 
Found shorter combination to 149 0 with 34C3_ZH 
Found shorter combination to 160 40 with 34C3__H 
Found shorter combination to 50 40 with 34C3_aH 
Found shorter combination to 101 40 with 34C3_bH 
Found shorter combination to 33 40 with 34C3_dH 
Found shorter combination to 245 0 with 34C3_eH 
Found shorter combination to 109 0 with 34C3_fH 
Found shorter combination to 242 0 with 34C3_gH 
Found shorter combination to 65 40 with 34C3_hH 
Found shorter combination to 64 40 with 34C3_iH 
Found shorter combination to 234 40 with 34C3_jH 
Found shorter combination to 188 40 with 34C3_kH 
Found shorter combination to 77 0 with 34C3_lH 
Found shorter combination to 192 0 with 34C3_mH 
Found shorter combination to 131 40 with 34C3_nH 
Found shorter combination to 227 0 with 34C3_qH 
Found shorter combination to 220 60 with 34C3_qH 
Found shorter combination to 128 40 with 34C3_rH 
Found shorter combination to 20 0 with 34C3_sH 
Found shorter combination to 65 0 with 34C3_wH 
Found shorter combination to 69 40 with 34C3_xH 
Found shorter combination to 132 0 with 34C3_yH 
Found shorter combination to 155 60 with 34C3_yH 
Found shorter combination to 62 0 with 34C3_0H 
Found shorter combination to 73 40 with 34C3_4H 
Found shorter combination to 203 20 with 34C3_4H 
Found shorter combination to 78 40 with 34C3_8H 
Found shorter combination to 39 40 with 34C3_9H 
Found shorter combination to 241 40 with 34C3_"H 
Found shorter combination to 255 0 with 34C3_.H 
Found shorter combination to 100 45 with 34C3_AI 
Found shorter combination to 233 50 with 34C3_AI 
Found shorter combination to 132 10 with 34C3_BI 
Found shorter combination to 52 5 with 34C3_CI 
Found shorter combination to 106 10 with 34C3_CI 
Found shorter combination to 63 45 with 34C3_DI 
Found shorter combination to 61 50 with 34C3_DI 
Found shorter combination to 90 5 with 34C3_EI 
Found shorter combination to 226 5 with 34C3_FI 
Found shorter combination to 19 10 with 34C3_FI 
Found shorter combination to 162 45 with 34C3_GI 
Found shorter combination to 228 10 with 34C3_GI 
Found shorter combination to 163 50 with 34C3_HI 
Found shorter combination to 238 20 with 34C3_HI 
Found shorter combination to 209 45 with 34C3_II 
Found shorter combination to 88 50 with 34C3_II 
Found shorter combination to 219 45 with 34C3_JI 
Found shorter combination to 173 50 with 34C3_JI 
Found shorter combination to 71 45 with 34C3_KI 
Found shorter combination to 99 5 with 34C3_LI 
Found shorter combination to 196 50 with 34C3_LI 
Found shorter combination to 228 45 with 34C3_MI 
Found shorter combination to 174 50 with 34C3_MI 
Found shorter combination to 179 5 with 34C3_NI 
Found shorter combination to 37 10 with 34C3_NI 
Found shorter combination to 146 5 with 34C3_OI 
Found shorter combination to 176 50 with 34C3_OI 
Found shorter combination to 217 45 with 34C3_PI 
Found shorter combination to 215 50 with 34C3_PI 
Found shorter combination to 247 5 with 34C3_QI 
Found shorter combination to 108 50 with 34C3_QI 
Found shorter combination to 195 60 with 34C3_QI 
Found shorter combination to 38 45 with 34C3_RI 
Found shorter combination to 118 50 with 34C3_RI 
Found shorter combination to 225 20 with 34C3_RI 
Found shorter combination to 53 5 with 34C3_SI 
Found shorter combination to 94 45 with 34C3_UI 
Found shorter combination to 245 45 with 34C3_VI 
Found shorter combination to 227 10 with 34C3_VI 
Found shorter combination to 238 60 with 34C3_VI 
Found shorter combination to 124 45 with 34C3_WI 
Found shorter combination to 250 10 with 34C3_WI 
Found shorter combination to 164 60 with 34C3_WI 
Found shorter combination to 127 10 with 34C3_XI 
Found shorter combination to 258 5 with 34C3_YI 
Found shorter combination to 214 50 with 34C3_YI 
Found shorter combination to 158 60 with 34C3_YI 
Found shorter combination to 82 5 with 34C3_ZI 
Found shorter combination to 20 10 with 34C3_ZI 
Found shorter combination to 178 5 with 34C3__I 
Found shorter combination to 103 50 with 34C3__I 
Found shorter combination to 134 45 with 34C3_aI 
Found shorter combination to 205 50 with 34C3_aI 
Found shorter combination to 61 60 with 34C3_aI 
Found shorter combination to 83 50 with 34C3_bI 
Found shorter combination to 222 45 with 34C3_cI 
Found shorter combination to 126 5 with 34C3_eI 
Found shorter combination to 216 5 with 34C3_fI 
Found shorter combination to 142 5 with 34C3_gI 
Found shorter combination to 240 50 with 34C3_gI 
Found shorter combination to 21 20 with 34C3_gI 
Found shorter combination to 227 50 with 34C3_hI 
Found shorter combination to 38 5 with 34C3_iI 
Found shorter combination to 158 50 with 34C3_iI 
Found shorter combination to 68 20 with 34C3_iI 
Found shorter combination to 113 5 with 34C3_jI 
Found shorter combination to 221 10 with 34C3_jI 
Found shorter combination to 206 45 with 34C3_kI 
Found shorter combination to 139 50 with 34C3_kI 
Found shorter combination to 66 60 with 34C3_kI 
Found shorter combination to 145 45 with 34C3_lI 
Found shorter combination to 152 50 with 34C3_lI 
Found shorter combination to 223 5 with 34C3_mI 
Found shorter combination to 31 50 with 34C3_mI 
Found shorter combination to 252 10 with 34C3_nI 
Found shorter combination to 85 60 with 34C3_nI 
Found shorter combination to 221 45 with 34C3_pI 
Found shorter combination to 59 10 with 34C3_pI 
Found shorter combination to 29 50 with 34C3_qI 
Found shorter combination to 115 45 with 34C3_sI 
Found shorter combination to 182 10 with 34C3_sI 
Found shorter combination to 256 10 with 34C3_vI 
Found shorter combination to 200 5 with 34C3_wI 
Found shorter combination to 156 45 with 34C3_xI 
Found shorter combination to 116 10 with 34C3_xI 
Found shorter combination to 104 5 with 34C3_zI 
Found shorter combination to 91 10 with 34C3_zI 
Found shorter combination to 187 45 with 34C3_0I 
Found shorter combination to 46 5 with 34C3_2I 
Found shorter combination to 24 10 with 34C3_2I 
Found shorter combination to 43 45 with 34C3_3I 
Found shorter combination to 230 5 with 34C3_4I 
Found shorter combination to 152 5 with 34C3_7I 
Found shorter combination to 154 10 with 34C3_7I 
Found shorter combination to 22 45 with 34C3_8I 
Found shorter combination to 77 10 with 34C3_8I 
Found shorter combination to 121 45 with 34C3_9I 
Found shorter combination to 183 50 with 34C3_9I 
Found shorter combination to 60 5 with 34C3_"I 
Found shorter combination to 175 50 with 34C3_.I 
Found shorter combination to 22 0 with 34C3_AJ 
Found shorter combination to 164 40 with 34C3_BJ 
Found shorter combination to 218 20 with 34C3_BJ 
Found shorter combination to 80 40 with 34C3_CJ 
Found shorter combination to 218 0 with 34C3_DJ 
Found shorter combination to 98 40 with 34C3_EJ 
Found shorter combination to 204 0 with 34C3_FJ 
Found shorter combination to 59 20 with 34C3_FJ 
Found shorter combination to 180 40 with 34C3_HJ 
Found shorter combination to 182 40 with 34C3_JJ 
Found shorter combination to 213 40 with 34C3_KJ 
Found shorter combination to 33 0 with 34C3_LJ 
Found shorter combination to 240 0 with 34C3_NJ 
Found shorter combination to 188 60 with 34C3_NJ 
Found shorter combination to 80 0 with 34C3_OJ 
Found shorter combination to 204 40 with 34C3_SJ 
Found shorter combination to 23 40 with 34C3_TJ 
Found shorter combination to 118 0 with 34C3_UJ 
Found shorter combination to 95 0 with 34C3_XJ 
Found shorter combination to 155 40 with 34C3_YJ 
Found shorter combination to 139 40 with 34C3_ZJ 
Found shorter combination to 128 60 with 34C3__J 
Found shorter combination to 95 40 with 34C3_bJ 
Found shorter combination to 23 0 with 34C3_cJ 
Found shorter combination to 31 40 with 34C3_eJ 
Found shorter combination to 122 0 with 34C3_fJ 
Found shorter combination to 254 0 with 34C3_gJ 
Found shorter combination to 257 40 with 34C3_iJ 
Found shorter combination to 196 0 with 34C3_kJ 
Found shorter combination to 231 40 with 34C3_lJ 
Found shorter combination to 191 40 with 34C3_mJ 
Found shorter combination to 96 0 with 34C3_nJ 
Found shorter combination to 130 0 with 34C3_qJ 
Found shorter combination to 229 0 with 34C3_rJ 
Found shorter combination to 64 60 with 34C3_rJ 
Found shorter combination to 89 0 with 34C3_sJ 
Found shorter combination to 140 20 with 34C3_sJ 
Found shorter combination to 222 0 with 34C3_wJ 
Found shorter combination to 216 40 with 34C3_yJ 
Found shorter combination to 19 0 with 34C3_zJ 
Found shorter combination to 162 20 with 34C3_zJ 
Found shorter combination to 224 40 with 34C3_0J 
Found shorter combination to 143 40 with 34C3_2J 
Found shorter combination to 251 40 with 34C3_3J 
Found shorter combination to 165 0 with 34C3_4J 
Found shorter combination to 128 20 with 34C3_4J 
Found shorter combination to 84 40 with 34C3_7J 
Found shorter combination to 83 0 with 34C3_8J 
Found shorter combination to 18 0 with 34C3_9J 
Found shorter combination to 117 60 with 34C3_9J 
Found shorter combination to 18 40 with 34C3_"J 
Found shorter combination to 123 60 with 34C3_"J 
Found shorter combination to 61 40 with 34C3_.J 
Found shorter combination to 33 60 with 34C3_.J 
Found shorter combination to 100 70 with 34C3_AK 
Found shorter combination to 24 60 with 34C3_AK 
Found shorter combination to 104 20 with 34C3_BK 
Found shorter combination to 183 20 with 34C3_BK 
Found shorter combination to 52 30 with 34C3_CK 
Found shorter combination to 63 70 with 34C3_DK 
Found shorter combination to 113 20 with 34C3_DK 
Found shorter combination to 234 20 with 34C3_DK 
Found shorter combination to 90 30 with 34C3_EK 
Found shorter combination to 226 30 with 34C3_FK 
Found shorter combination to 243 60 with 34C3_GK 
Found shorter combination to 177 30 with 34C3_HK 
Found shorter combination to 209 70 with 34C3_IK 
Found shorter combination to 219 70 with 34C3_JK 
Found shorter combination to 109 20 with 34C3_JK 
Found shorter combination to 71 70 with 34C3_KK 
Found shorter combination to 99 30 with 34C3_LK 
Found shorter combination to 27 60 with 34C3_LK 
Found shorter combination to 22 60 with 34C3_LK 
Found shorter combination to 20 20 with 34C3_OK 
Found shorter combination to 217 70 with 34C3_PK 
Found shorter combination to 109 60 with 34C3_PK 
Found shorter combination to 38 70 with 34C3_RK 
Found shorter combination to 53 30 with 34C3_SK 
Found shorter combination to 218 70 with 34C3_TK 
Found shorter combination to 94 70 with 34C3_UK 
Found shorter combination to 183 60 with 34C3_UK 
Found shorter combination to 245 70 with 34C3_VK 
Found shorter combination to 157 60 with 34C3_VK 
Found shorter combination to 126 20 with 34C3_WK 
Found shorter combination to 131 20 with 34C3_WK 
Found shorter combination to 150 70 with 34C3_XK 
Found shorter combination to 258 30 with 34C3_YK 
Found shorter combination to 82 30 with 34C3_ZK 
Found shorter combination to 178 30 with 34C3__K 
Found shorter combination to 134 70 with 34C3_aK 
Found shorter combination to 54 30 with 34C3_bK 
Found shorter combination to 234 60 with 34C3_bK 
Found shorter combination to 185 60 with 34C3_bK 
Found shorter combination to 142 20 with 34C3_cK 
Found shorter combination to 55 30 with 34C3_dK 
Found shorter combination to 126 30 with 34C3_eK 
Found shorter combination to 47 60 with 34C3_eK 
Found shorter combination to 216 30 with 34C3_fK 
Found shorter combination to 142 30 with 34C3_gK 
Found shorter combination to 14 70 with 34C3_hK 
Found shorter combination to 38 30 with 34C3_iK 
Found shorter combination to 115 60 with 34C3_iK 
Found shorter combination to 141 20 with 34C3_iK 
Found shorter combination to 113 30 with 34C3_jK 
Found shorter combination to 173 20 with 34C3_jK 
Found shorter combination to 206 70 with 34C3_kK 
Found shorter combination to 148 60 with 34C3_kK 
Found shorter combination to 145 70 with 34C3_lK 
Found shorter combination to 223 30 with 34C3_mK 
Found shorter combination to 210 70 with 34C3_nK 
Found shorter combination to 221 70 with 34C3_pK 
Found shorter combination to 254 60 with 34C3_pK 
Found shorter combination to 172 20 with 34C3_pK 
Found shorter combination to 39 30 with 34C3_qK 
Found shorter combination to 178 20 with 34C3_qK 
Found shorter combination to 115 70 with 34C3_sK 
Found shorter combination to 96 70 with 34C3_vK 
Found shorter combination to 200 30 with 34C3_wK 
Found shorter combination to 156 70 with 34C3_xK 
Found shorter combination to 141 70 with 34C3_yK 
Found shorter combination to 104 30 with 34C3_zK 
Found shorter combination to 187 70 with 34C3_0K 
Found shorter combination to 244 60 with 34C3_0K 
Found shorter combination to 43 70 with 34C3_3K 
Found shorter combination to 22 70 with 34C3_8K 
Found shorter combination to 214 20 with 34C3_8K 
Found shorter combination to 92 20 with 34C3_8K 
Found shorter combination to 121 70 with 34C3_9K 
Found shorter combination to 44 30 with 34C3_.K 
Found shorter combination to 14 60 with 34C3_.K 
Found shorter combination to 64 30 with 34C3_CL 
Found shorter combination to 169 70 with 34C3_EL 
Found shorter combination to 243 70 with 34C3_GL 
Found shorter combination to 40 20 with 34C3_GL 
Found shorter combination to 109 30 with 34C3_JL 
Found shorter combination to 247 70 with 34C3_KL 
Found shorter combination to 27 70 with 34C3_LL 
Found shorter combination to 218 30 with 34C3_ML 
Found shorter combination to 20 30 with 34C3_OL 
Found shorter combination to 161 20 with 34C3_OL 
Found shorter combination to 109 70 with 34C3_PL 
Found shorter combination to 164 70 with 34C3_RL 
Found shorter combination to 130 30 with 34C3_SL 
Found shorter combination to 26 30 with 34C3_TL 
Found shorter combination to 116 30 with 34C3_UL 
Found shorter combination to 239 70 with 34C3_VL 
Found shorter combination to 108 70 with 34C3_XL 
Found shorter combination to 234 70 with 34C3_bL 
Found shorter combination to 237 30 with 34C3_fL 
Found shorter combination to 60 70 with 34C3_hL 
Found shorter combination to 13 30 with 34C3_jL 
Found shorter combination to 148 70 with 34C3_kL 
Found shorter combination to 101 60 with 34C3_kL 
Found shorter combination to 98 30 with 34C3_lL 
Found shorter combination to 251 30 with 34C3_mL 
Found shorter combination to 157 30 with 34C3_nL 
Found shorter combination to 254 70 with 34C3_pL 
Found shorter combination to 201 70 with 34C3_rL 
Found shorter combination to 229 20 with 34C3_rL 
Found shorter combination to 70 30 with 34C3_sL 
Found shorter combination to 46 70 with 34C3_wL 
Found shorter combination to 211 20 with 34C3_yL 
Found shorter combination to 244 70 with 34C3_0L 
Found shorter combination to 176 70 with 34C3_3L 
Found shorter combination to 240 70 with 34C3_4L 
Found shorter combination to 214 30 with 34C3_8L 
Found shorter combination to 75 60 with 34C3_8L 
Found shorter combination to 77 30 with 34C3_9L 
